# -- start of yaml config --
# ---
# app:
#   name: strand-cam-pylon
#   version: 0.11.1
#   git_hash: 313a43e8b8154508d78f5b914b2fc569781a68e7
# camera:
#   vendor: Basler
#   model: Basler-22117938
#   serial: "22117938"
#   width: 1280
#   height: 1024
# created_at: "2022-05-06T10:55:10.489690743+02:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.01
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 30
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.3
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 512
#       radius: 512
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
7266337,38817,793.2,474.3,-1.064,7211,0,0,16000
7299736,38818,793.2,474.4,-1.068,7395,0,0,16000
7333075,38819,793.3,474.2,-1.070,7282,0,0,16000
7366411,38820,793.3,474.2,-1.080,7192,0,0,16000
7399748,38821,793.2,474.3,-1.074,7417,0,0,16000
7433065,38822,793.3,474.2,-1.083,7234,0,0,16000
7466489,38823,793.3,474.3,-1.067,7281,0,0,16000
7499648,38824,793.2,474.3,-1.057,7125,0,0,16000
7533062,38825,793.4,474.2,-1.079,7269,0,0,16000
7566530,38826,793.3,474.2,-1.071,7199,0,0,16000
7599736,38827,793.8,474.1,-1.007,7144,0,0,16000
7633058,38828,794.3,473.9,-0.952,6884,0,0,16000
7666385,38829,795.1,473.7,-0.862,7348,0,0,16000
7699812,38830,795.9,473.9,-0.708,7145,0,0,16000
7733095,38831,797.1,473.9,-0.560,7086,0,0,16000
7766384,38832,798.8,473.5,-0.486,6947,0,0,16000
7799727,38833,800.6,473.7,-0.413,7229,0,0,16000
7833120,38834,802.5,473.9,-0.319,7191,0,0,16000
7866299,38835,805.1,473.6,-0.277,7035,0,0,16000
7899754,38836,807.4,473.5,-0.289,7042,0,0,16000
7933111,38837,810.2,473.3,-0.261,7342,0,0,16000
7966385,38838,812.6,472.8,-0.265,7232,0,0,16000
7999733,38839,815.0,472.4,-0.278,6905,0,0,16000
8033082,38840,817.9,472.0,-0.300,7088,0,0,16000
8066408,38841,820.1,471.6,-0.268,7086,0,0,16000
8100023,38842,822.7,471.1,-0.313,7021,0,0,16000
8133031,38843,825.2,470.8,-0.302,7021,0,0,16000
8166423,38844,827.9,470.3,-0.280,6976,0,0,16000
8199829,38845,831.1,469.6,-0.298,6918,0,0,16000
8233025,38846,834.1,469.1,-0.322,7046,0,0,16000
8266518,38847,837.0,467.8,-0.322,6956,0,0,16000
8299787,38848,839.6,466.8,-0.383,6993,0,0,16000
8333780,38849,842.4,466.1,-0.394,6801,0,0,16000
8366504,38850,844.6,465.1,-0.419,7010,0,0,16000
8399781,38851,846.9,464.2,-0.446,6844,0,0,16000
8433067,38852,849.2,463.3,-0.471,6873,0,0,16000
8466366,38853,851.3,462.0,-0.493,6895,0,0,16000
8499700,38854,853.4,460.6,-0.533,6900,0,0,16000
8533029,38855,856.1,459.1,-0.534,6959,0,0,16000
8566401,38856,858.5,457.7,-0.588,6778,0,0,16000
8599679,38857,860.9,455.9,-0.627,6538,0,0,16000
8633048,38858,863.7,454.0,-0.597,6510,0,0,16000
8666360,38859,866.3,451.9,-0.625,6684,0,0,16000
8699718,38860,869.1,450.1,-0.620,6719,0,0,16000
8733013,38861,871.6,448.2,-0.634,6557,0,0,16000
8766375,38862,872.7,447.6,-0.635,6610,0,0,16000
8799682,38863,873.4,447.2,-0.650,6639,0,0,16000
8833073,38864,873.7,447.0,-0.684,6677,0,0,16000
8866288,38865,873.8,446.9,-0.720,6539,0,0,16000
8899761,38866,873.8,446.8,-0.699,6553,0,0,16000
8933075,38867,873.9,446.9,-0.697,6541,0,0,16000
8966376,38868,873.9,446.8,-0.688,6554,0,0,16000
8999741,38869,873.9,446.8,-0.692,6625,0,0,16000
9033034,38870,873.8,446.9,-0.685,6581,0,0,16000
9066386,38871,874.0,446.8,-0.688,6493,0,0,16000
9099717,38872,874.0,446.8,-0.702,6566,0,0,16000
9133066,38873,874.0,446.8,-0.724,6648,0,0,16000
9166553,38874,873.7,446.6,-0.837,6528,0,0,16000
9199767,38875,874.1,445.9,-0.910,6514,0,0,16000
9233014,38876,874.3,444.9,-0.991,6748,0,0,16000
9266490,38877,874.9,443.1,-1.099,6604,0,0,16000
9299668,38878,875.5,441.4,-1.206,6525,0,0,16000
9333161,38879,875.8,439.3,-1.287,6551,0,0,16000
9366414,38880,874.4,439.9,-1.391,6466,0,0,16000
9399641,38881,872.7,440.2,-1.560,6416,0,0,16000
9433128,38882,871.6,440.3,1.507,6577,0,0,16000
9466378,38883,870.4,439.7,1.343,6421,0,0,16000
9499719,38884,869.2,439.4,1.228,6511,0,0,16000
9533034,38885,867.4,438.7,1.119,6692,0,0,16000
9566385,38886,865.9,438.1,1.031,6627,0,0,16000
9599855,38887,864.2,437.7,0.996,6711,0,0,16000
9632997,38888,862.3,437.4,0.914,6625,0,0,16000
9666395,38889,860.5,436.9,0.927,6868,0,0,16000
9699787,38890,858.7,436.1,0.855,6824,0,0,16000
9733087,38891,856.3,435.3,0.811,7012,0,0,16000
9766470,38892,854.1,434.9,0.750,7012,0,0,16000
9799804,38893,852.3,434.5,0.704,6845,0,0,16000
9833076,38894,849.9,434.1,0.614,6916,0,0,16000
9866477,38895,847.5,433.6,0.521,7132,0,0,16000
9899755,38896,845.4,434.1,0.488,7008,0,0,16000
9933150,38897,844.5,434.4,0.460,7071,0,0,16000
9966454,38898,842.0,434.6,0.387,7175,0,0,16000
9999780,38899,840.0,434.9,0.333,7173,0,0,16000
10033081,38900,837.8,434.9,0.303,7212,0,0,16000
10066533,38901,836.4,435.5,0.296,7310,0,0,16000
10099788,38902,834.2,436.3,0.230,7140,0,0,16000
10133036,38903,832.1,436.8,0.168,6986,0,0,16000
10166523,38904,829.9,437.8,0.127,7161,0,0,16000
10199649,38905,828.7,438.9,0.042,7209,0,0,16000
10233041,38906,826.5,439.8,-0.020,7198,0,0,16000
10266699,38907,824.3,440.6,-0.044,7357,0,0,16000
10299714,38908,822.4,441.7,-0.078,7364,0,0,16000
10333089,38909,820.5,442.8,-0.110,7411,0,0,16000
10366404,38910,819.3,444.0,-0.149,7263,0,0,16000
10399685,38911,819.4,445.9,-0.230,7311,0,0,16000
10433026,38912,819.9,447.0,-0.281,7157,0,0,16000
10466530,38913,819.5,447.7,-0.364,7150,0,0,16000
10499693,38914,818.7,449.3,-0.399,7079,0,0,16000
10533043,38915,818.2,450.4,-0.443,7136,0,0,16000
10566327,38916,817.0,452.1,-0.399,7437,0,0,16000
10599728,38917,816.8,453.4,-0.414,7592,0,0,16000
10633083,38918,816.1,455.1,-0.451,7531,0,0,16000
10666697,38919,815.4,456.6,-0.503,7467,0,0,16000
10699712,38920,814.1,458.2,-0.514,7520,0,0,16000
10733068,38921,813.3,459.9,-0.555,7614,0,0,16000
10766688,38922,812.1,461.8,-0.563,7487,0,0,16000
10799674,38923,810.9,463.6,-0.556,7594,0,0,16000
10833208,38924,811.0,465.3,-0.604,7598,0,0,16000
10866340,38925,812.3,466.3,-0.717,7268,0,0,16000
10899719,38926,812.3,467.7,-0.811,7357,0,0,16000
10933067,38927,812.5,469.0,-0.857,7327,0,0,16000
10966447,38928,812.4,470.9,-0.961,7216,0,0,16000
10999725,38929,812.3,472.5,-1.027,7118,0,0,16000
11033137,38930,812.1,474.5,-1.023,7243,0,0,16000
11066391,38931,811.7,476.4,-1.034,7379,0,0,16000
11099691,38932,811.3,479.0,-1.058,7122,0,0,16000
11133030,38933,811.4,480.2,-1.044,7274,0,0,16000
11166432,38934,811.2,482.2,-1.032,7257,0,0,16000
11199820,38935,810.8,483.9,-1.061,7236,0,0,16000
11233242,38936,809.9,486.0,-1.061,7288,0,0,16000
11266437,38937,809.4,488.0,-1.025,7190,0,0,16000
11299676,38938,808.7,490.6,-1.000,7244,0,0,16000
11333052,38939,808.2,492.3,-0.983,7201,0,0,16000
11366307,38940,807.3,494.5,-0.993,7153,0,0,16000
11399728,38941,806.4,496.7,-0.972,7146,0,0,16000
11433041,38942,805.4,498.7,-0.948,7131,0,0,16000
11466367,38943,804.3,500.5,-0.910,7170,0,0,16000
11499672,38944,802.8,502.4,-0.910,6890,0,0,16000
11533166,38945,801.6,504.3,-0.829,7112,0,0,16000
11566355,38946,800.4,506.2,-0.781,6984,0,0,16000
11599787,38947,798.8,507.5,-0.711,7153,0,0,16000
11633143,38948,797.1,508.9,-0.696,7069,0,0,16000
11666384,38949,795.7,510.3,-0.635,7079,0,0,16000
11699827,38950,793.9,511.6,-0.579,7014,0,0,16000
11732935,38951,792.0,512.5,-0.504,7003,0,0,16000
11766461,38952,790.0,513.6,-0.481,7000,0,0,16000
11799579,38953,788.4,514.5,-0.436,7023,0,0,16000
11833011,38954,786.7,515.3,-0.387,6930,0,0,16000
11866347,38955,784.7,516.0,-0.345,7110,0,0,16000
11899698,38956,782.2,516.9,-0.308,7008,0,0,16000
11933026,38957,780.1,517.7,-0.243,7018,0,0,16000
11966373,38958,778.5,518.3,-0.235,7006,0,0,16000
11999686,38959,777.0,518.7,-0.203,6918,0,0,16000
12033025,38960,775.2,519.5,-0.183,6975,0,0,16000
12066577,38961,773.3,520.3,-0.213,6965,0,0,16000
12099622,38962,771.3,521.2,-0.210,7106,0,0,16000
12133101,38963,769.4,521.6,-0.180,7084,0,0,16000
12166337,38964,767.0,521.9,-0.180,7250,0,0,16000
12199730,38965,764.4,522.4,-0.125,7107,0,0,16000
12233080,38966,762.1,522.8,-0.103,7124,0,0,16000
12266299,38967,760.9,522.9,-0.071,7097,0,0,16000
12299621,38968,758.6,523.0,-0.051,7084,0,0,16000
12332915,38969,756.5,523.2,-0.008,6991,0,0,16000
12366369,38970,754.6,523.1,0.051,6986,0,0,16000
12399916,38971,752.3,522.7,0.086,7192,0,0,16000
12433399,38972,750.3,522.2,0.147,7088,0,0,16000
12466322,38973,748.2,521.5,0.236,7075,0,0,16000
12499829,38974,746.4,521.0,0.304,7014,0,0,16000
12533193,38975,744.7,520.1,0.341,7100,0,0,16000
12566356,38976,742.3,518.9,0.386,6936,0,0,16000
12599734,38977,740.3,517.7,0.460,6932,0,0,16000
12633037,38978,738.5,516.8,0.458,7052,0,0,16000
